id,country,description,designation,points,price,province,region_1,region_2,variety,winery
137491,Germany,"Subtle for the type, with delicate quince, apricot and moss notes that lead to a lemony palate. Piquant acidity binds it all together in a taut frame. Off-dry. Drink now.",Spätlese,87,32.0,Rheinhessen,,,Riesling,Rheingraf
137492,Spain,"Fairly generous for a bargain-priced, everyday Rioja. There's bacon, rubber, leather and mild oak on the fruity bouquet, while the palate is concentrated, jumpy and hosts honest red berry fruit flavors along with dry oak and a spot of vanilla. Meets any reasonable expectation of what $12 Rioja should be.",,87,12.0,Northern Spain,Rioja,,Tempranillo,Sierra Cantabria
137493,US,"Feels old-fashioned in the dry, rugged tannins and herb-infused blackberry and currant flavors. Good, but curiously one-dimensional, which leads to the question of ageability. Hard to tell. Try after 2012.",,87,100.0,California,Napa Valley,Napa,Cabernet Sauvignon,Silver Oak
137494,Australia,"Ripe and pretty, with vanilla, tropical nuts and black tar scents and flavors of mixed berry jam that carry over to the crisp finish. There's no tannin to speak of, making this a good choice for lean pork dishes. Drink now.",Single Vineyard Old Vine,87,25.0,South Australia,Barossa Valley,,Grenache,Ross Estate
137495,US,"Sturdy and clean, this is a good, near-term, go-to Pinot Noir. It's got light berry and pomegranate fruit, tart acids, spicy herb highlights and firm tannins. All the fruit flavor is front-loaded.",,87,20.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,RouteStock Cellars
137496,Italy,Ruggeri & C. is one of Prosecco's most important ambassadors both in terms of quality and image. This “Gold Label” wine is delicate and light with a generous floral bouquet that is backed by fresh fruit and peach.,Giall'Oro Extra Dry,87,18.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Glera,Ruggeri & C.
137497,US,"This is a pretty, polished and supple Pinot Noir for drinking now and over the short range. It's dry and crisp, with herb-tinged flavors of cherries and cola.",,87,35.0,California,Carneros,Napa-Sonoma,Pinot Noir,Truchard
137498,US,"Shows the dry earthiness that often marks Carneros Chardonnay, with an herb and tobacco grounding to the riper pineapples and peaches. Oak, of course, adds sweet notes of vanilla and buttercream. There's also a cut of acidity.",,87,30.0,California,Carneros,Napa-Sonoma,Chardonnay,Truchard
137499,Italy,"Informal, bright and loads of fun, Villa Sandi delivers a fresh-tasting sparkling wine that would work well with light foods or no food at all. The aromas here include spring flowers, white stone and peach.",Extra Dry,87,16.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Glera,Villa Sandi
137500,Australia,"This unique blend of 88% Tempranillo, 7% Grenache and 5% Viognier is fragrant (as expected) and a bit Pinot-like in its intense aroma of cherry pie filling. It's elegant in the mouth, with soft tannins and a persistent strawberry note on the medium finish. Try with a bold fish preparation. Drink now.",Hand Picked t/g/v,87,30.0,South Australia,Barossa,,Red Blend,Yalumba
