id,country,description,designation,points,price,province,region_1,region_2,variety,winery
37497,US,"A fine Cabernet, this is dry, full bodied and softly tannic, with real Napa elegance. Feels smooth in the mouth, offering concentrated blackberry, currant, dark chocolate and sweet oak flavors. Drink over the next six years.",Papa's Knoll Estate,89,45.0,California,Napa Valley,Napa,Cabernet Sauvignon,Buehler
37498,US,"Sourced from old vines at Windrow and the less-well-known (but excellent) Tokar vineyard, this pure Cabernet Sauvignon shows a tight mix of plum, cassis, olive and earth, underscored by sharp acidity. It's young and substantial, with some heat in a finish marked by slightly bitter phenolics.",,89,42.0,Washington,Walla Walla Valley (WA),Columbia Valley,Cabernet Sauvignon,Bunchgrass
37499,US,"An aromatic explosion with notes of white pepper, menthol, black cherry, and vanilla. It's medium bodied with citrusy acidity and firm tannins with oak notes fleshing out the finish. A delightful bottle that deserves a place at the dinner table.",Northridge Vineyard,89,36.0,Washington,Wahluke Slope,Columbia Valley,Mourvèdre,Bunnell Family Cellar
37500,Argentina,"A little bit hickory-dominated on the bouquet, but also giving balsamic notes, blackberry and chocolate mint. The palate is linear due to a streak of cutting acidity, while the palate is also snappy with wild raspberry and bright plum flavors and plenty of wood tannin. A toasty finish with espresso and chocolate is fine and long. Drink now through 2017.",Viña Cristina y Bibiana Coletto Single Vineyard,92,55.0,Mendoza Province,Mendoza,,Malbec,Trapiche
37501,Portugal,"A fascinating blend of five varieties, this solid, black wine shows structure, dense tannins, an enticing perfume and big, ripe fruits. The finish has acidity, but also those powerful tannins. Age for 4–5 years.",Rol de Coisas Antigas,92,30.0,Bairrada,,,Portuguese Red,Campolargo
37502,US,"The great '07s continue to roll out. Nearing four years of age, this Cabernet is quite soft, although it was probably soft to begin with. It's showing a few signs of age, with the rich, ripe, chocolaty flavors of blackberries, cherries and cassis beginning to dry out. Should continue to mellow in the bottle over the next six years.",,92,59.0,California,Napa Valley,Napa,Cabernet Sauvignon,Eponymous
37503,Italy,"Made with fruit from old vines, this is a rich and incredibly sophisticated expression of Soave Classico with wonderful density, intensity and lingering aromas of mature melon, stone fruit and almond. Its creamy richness persists on the palate.",Contrada Salvarenza Vecchie Vigne,92,35.0,Veneto,Soave Classico,,Garganega,Gini
37504,US,"A selection of prime, biodynamically farmed blocks from the estate vineyard, this Cowhorn reserve is elegant, detailed, rich and thoroughly captivating. Black cherry fruit is set in loamy earth flavors, soft and broadly displayed across the palate. Ripe without being in any way over the top, it brings in details of black tea, citrus, sandalwood and mocha. A complex wine of great finesse.",Reserve,92,45.0,Oregon,Applegate Valley,Southern Oregon,Syrah,Cowhorn
37505,US,"Ripe and powerful in blackberry, cherry, cassis and sweet oak flavors, with a spicy finish, this blend, which is mostly Cabernet Sauvignon, also is potent in tannins. It's a complex, nuanced wine, but is really too astringent for current consumption. Give it at least six years and try again.",JoLi Estate Vineyard,92,50.0,California,Central Coast,Central Coast,Meritage,Clos La Chance
37506,South Africa,"Cocoa-dusted black cherry and berry aromas hit you first in the bouquet, followed by soft notes of black tea, violets and licorice shortly after. Full and rich in the mouth, the fruit is intense and juicy, framed by a lush but firm structure and balanced acidity hinting at the life that this wine still has to come. Long finish with a peppery back note.",Z,92,35.0,Stellenbosch,,,Bordeaux-style Red Blend,De Toren
37507,France,"Chez Jaume, the family took the difficult decision not to produce its luxury Cuvée Origines in 2008. That old-vine juice ended up in this bottling, which no doubt accounts for its splendidly lush yet balanced midpalate and intense notes of cracked pepper, cassis and espresso. A great success for the vintage.",Domaine Grand Veneur,92,50.0,Rhône Valley,Châteauneuf-du-Pape,,Rhône-style Red Blend,Alain Jaume et Fils
