id,country,description,designation,points,price,province,region_1,region_2,variety,winery
49998,US,"An elegant Viognier, this first release from a young Lake Chelan vineyard has unusual delicacy for this often-bitter grape. At a moderate 13% alcohol, it shows lemon and lime rind, pink grapefruit and just a hint of white peach flavors. It finishes dry, and despite its lightness, it has a nice grip and persistence through the finish as well as firm acidity. Could be a gem with fresh oysters.",Defiance Vineyard,88,19.0,Washington,Columbia Valley (WA),Columbia Valley,Viognier,Nefarious Cellars
49999,Chile,"Santa Ema seems to be striving for the ripest possible style they can get, and along the way they have found that while also losing some elegance. It starts with sweet, jammy aromas that are not far from melted red licorice. The palate is saturated with berry flavors, while the feel is thick but slightly flat. Could use more edge and compexity, but on the plus side it's lush and pleasant.",Amplus,88,19.0,Cachapoal Valley,,,Cabernet Sauvignon,Santa Ema
50000,US,"Primarily composed of Syrah, this Rosé is delightfully tart and spicy, wrapping tangy strawberry fruit in light flavors of malted milk chocolate. Plenty of acid keeps it lively and fresh.",,88,10.0,Washington,Columbia Valley (WA),Columbia Valley,Rosé,RiverAerie
50001,Chile,"The Best Buy parade for Chilean Sauvignon Blanc is bolstered by this pure, stable '07. The nose deals hints of melon, vanilla bean and lime, although it's mostly neutral. Flavors of green apple, citrus and so forth are familiar, while the feel and finish are smooth, comfortable and just deep enough. Drink now.",Winemaker's Selection,88,10.0,Rapel Valley,,,Sauvignon Blanc,Yali
50002,Chile,"Rich and sweet smelling right from the start, with mocha, shoe polish and charred aromas. The wine is ripe to the point of being sticky, while the flavors are naturally herbal, with olive, berry and earth notes. Shows good balance, feel and nerve. A new and worthy Carmenère to keep an eye on.",Chamán Gran Reserva,88,20.0,Colchagua Valley,,,Carmenère,Viña Santacruz
50003,Australia,"A medium-bodied, not-too-sweet sparkler with some slightly mature, mushroomy notes to go with scents of buttered saltines and a clean, fresh finish. A pleasant surprise worthy of your next country club gala.",Australian Sparkling,88,15.0,Australia Other,South Eastern Australia,,Champagne Blend,Greg Norman Estates
50004,France,"This is initially rich, but it does have a distinct level of acidity that gives the wine fruit flavors that are more towards currants than stone fruit. The structure is all there, and the wine finishes with tight acidity.",,88,,Burgundy,Bourgogne Hautes Côtes de Nuits,,Pinot Noir,Domaine Anne Gros
50005,US,"This is a good baseline Merlot, blended with small amounts of Syrah and Cabernet Sauvignon. Once again the wine opens with a very pretty nose, scented with pipe tobacco and cherry. Those flavors move into a satisfying middle, with nothing vegetal or even too herbal, but the black cherry fruit is joined by dried leaves and black olive complexities.",,88,17.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Barnard Griffin
50006,France,"A firm wine that has ripe but structured tannins. It is not a big wine, but rather shows a tighter style of Pinot Noir that balances sweet red fruits and a spice edge of wood. It would benefit from aging for 2–3 years.",Domaine du Clos Frantin,88,,Burgundy,Vosne-Romanée,,Pinot Noir,Albert Bichot
50007,US,"Flirts with being too oaky, but steps back at the last moment, allowing the toasty vanilla and caramel to accent, not overwhelm, the exotic tropical fruit and spice flavors. Comes across as flamboyant, but balanced. A wine to watch.",,88,25.0,California,Santa Cruz Mountains,Central Coast,Viognier,Black Ridge
50008,US,"Made in a drier, more tannic style compared to some top Napa Cabs, this Bordeaux blend is elegant rather than opulent. It has red currant, licorice and new oak flavors framed by hard, astringent tannins. Could develop with bottle age after 2011.",,88,75.0,California,Diamond Mountain District,Napa,Cabernet Sauvignon,J. Davies
50009,US,"Very rich in wild cherry, raspberry, red currant, tangerine zest, cola and smoky oak flavors, this Pinot also has a closed, quality due to vibrant acidity and some very finely ground tannins. Decant if you drink now. Could come into its own after 2010, but it's an unproved wine from the Boisset America team.",No. 11,88,75.0,California,Sonoma Coast,Sonoma,Pinot Noir,JCB
50010,France,"In a soft-fruited, juicy style, crushed strawberry flavors ride over the light tannins. This is a fresh, medium-weight wine, finished with sweet acidity and a final, clear berry finish.",Cuvée Signature,87,53.0,Burgundy,Gevrey-Chambertin,,Pinot Noir,Bouchard Aîné & Fils
50011,France,"Well-textured fruit—red plum skins, bright berries—floating on some tight tannins makes for good structure, the clean, fresh juicy flavors followed by a firm finish. Drink now, or keep for 1–2 years. Imported by Louis Latour Inc.",,87,25.0,Burgundy,Maranges,,Pinot Noir,Louis Latour
50012,Italy,"This is a linear and well-focused ripasso with distant aromas of cherry, herbs, mineral and spice that all converge to create a tasty whole. The mouthfeel is soft and velvety but there's also a touch of freshness on the close. Imported by Prestige Wine Imports Corp.",Campolieti,87,17.0,Veneto,Valpolicella Superiore Ripasso,,"Corvina, Rondinella, Molinara",Luigi Righetti
50013,Australia,"An interesting style of Shiraz, the 2006 Margan combines dark fruit flavors—black cherries, cola and chocolate—with crisp, almost lemony, acids. Hints of eucalyptus and cedar add extra complexity. Tannins are soft. Drink now–2012.",,87,18.0,New South Wales,Hunter Valley,,Shiraz,Margan
50014,US,"A bit soft and direct, but appeals for its rich flavors of pineapples, buttered toast, cinnamon and smoke. Shows a firm minerality at its core. Drink now.",Bien Nacido Vineyard,87,32.0,California,Santa Maria Valley,Central Coast,Chardonnay,Summerland
50015,US,"Ultra-ripe to the point of overripe, this very dry wine is rustically tannic, with flavors of blackberries, raisins and pepper. Probably at its best now.",Nikiara,87,35.0,California,Paso Robles,Central Coast,Meritage,Sylvester
50016,US,"Candied and direct, with sweet flavors of black cherry pie filling, candied violets, vanilla wafer cookie and spicy pepper and cinnamon. Seems at its best now.",Bien Nacido Estate Grown,87,42.0,California,Santa Maria Valley,Central Coast,Syrah,Tantara
50017,France,"A big, superripe wine that manages to combine this opulence with an edge of crisp acidity, keeping it well in balance. There are sweet peach and melon flavors followed by a touch of lime and toast, finishing rich and slightly spicy. Imported by Frederick Wildman & Sons, Ltd.",En Remilly Premier Cru,87,41.0,Burgundy,Saint-Aubin,,Chardonnay,Olivier Leflaive
50018,Italy,"Here's a distinctive ripasso with a thick, dark appearance and contrasting notes of milk chocolate, spice, dried currant, leather and church incense. The wine delivers some bitter cherry followed by smooth texture and finely polished tannins. Imported by Laird & Company.",,87,30.0,Veneto,Valpolicella Superiore Ripasso,,"Corvina, Rondinella, Molinara",Santa Sofia
50019,Spain,"A little old school with its dill and vanilla aromas and flavors, but with leather, raisin and berry accents and a nice medium-deep body, it more than gets the job done. The palate features herbal plum and berry flavors, while the finish is a bit short on fruit and long on dill. Improves with airing; drink now. Imported by Freixenet USA.",Reserva,87,24.0,Northern Spain,Ribera del Duero,,Tempranillo Blend,Valdubón
50020,Italy,"Floral notes of dried rose petal and cinnamon potpourri open the nose of this wine. They are followed by fruit tones of cherry, apple, blackberry and prune. There's nice density and texture here and the ripasso ends with a soft, supple quality. Imported by Haw River Wine Man.",Corte Majoli,87,16.0,Veneto,Valpolicella Superiore Ripasso,,"Corvina, Rondinella, Molinara",Tezza
50021,Italy,"Pietro Clementi's fresh Ripasso is redolent of cherry liqueur, exotic spice, leather and tobacco. The wine is plush and rich with a very soft and velvety quality of tannins. That said, this is an easy no-fuss wine at heart. —M.L.",,87,,Veneto,Valpolicella Classico Superiore Ripasso,,"Corvina, Rondinella, Molinara",Pietro Clementi
50022,US,"This intriguing Port-style wine starts with aromas of savory spice, plum and red berry, and offers flavors of chocolate, pepper and berry on the palate. Expressive and serious but not too heavy.",Vintage,87,50.0,Missouri,Augusta,,Port,Mount Pleasant Winery
50023,Spain,"Nice and friendly but also a little flatter than in years past. Aromas of lemon blossom, peach and other white fruits are standard, while the palate is less than edgy, with creamy apple, melon and spun sugar flavors. Sweet and solid, but on the softer side. Drink right away. Imported by Republic National Distributing Co..",Torre la Moreira,87,18.0,Galicia,Rías Baixas,,Albariño,Marqués de Vizhoja
50024,US,"This is a very Zinny Zinfandel.  Spice is the star. Pepper, nutmeg, cardamon, cumin, star anise, you get the idea. Otherwise, you'll find wild mountain cherries and a tang of Dr. Pepper cola. The wine is totally dry and fairly tannic, and finishes a bit hot.",,87,20.0,California,Fiddletown,Sierra Foothills,Zinfandel,Renwood
50025,Spain,"The Crespiello grape isn't one you see often, but it yields a deep, dark style of wine with balsamic notes, fresh black-fruit flavors and weight. This one is almost on the side of cooked, but not quite, thus it blazes a path with blackberry, smoked meat, jerky spice and more. A touch flat but not flabby.",Crespiello,87,52.0,Northern Spain,Cariñena,,Crespiello,Pulchrum
50026,US,"Good example of a clean, proper Viognier at a relatively affordable price. It's crisp and elegant, showing the variety's lush side, with tropical fruit, wildflower, buttered toast, sweet cream and vanilla flavors.",,87,18.0,California,Central Coast,Central Coast,Viognier,Wild Horse
50027,US,"Supersweet, offering flavors of honey, apricots, tangerines and vanilla. Very nice and crisp, but could use greater concentration of natural fruit.",G2 Late Harvest,87,30.0,California,San Benito County,Central Coast,Gewürztraminer,Vinum
50028,US,"An offbeat blend of Syrah, Cabernet Sauvignon and Zinfandel. Drinks dense and full-bodied, with a gamy, leathery edge to the blackberries, mocha and cedar. Flamboyant now, and could develop bottle complexity in a few years.",Cuvee des Artistes,87,38.0,California,Paso Robles,Central Coast,Red Blend,RN Estate
50029,France,"This, the second wine from Clos de la Maréchale, is light, very fresh, dusty in texture, the tannins held in suspension, with red plum and cranberry flavors.",Clos des Fourches,87,47.0,Burgundy,Nuits-St.-Georges,,Pinot Noir,Domaine Jacques-Frédéric Mugnier
50030,Germany,"Beeswax, oranges and crushed stone on the nose, then tangerine and more mineral notes on the palate. It's medium-bodied, prettily plump and succulent before a slightly drying, bitter note emerges on the finish.",Bernkasteler Badstube Kabinett,87,23.0,Mosel-Saar-Ruwer,,,Riesling,Dr. H. Thanisch (Erben Müller-Burggraef)
50031,Italy,"Here's a modern, fruit-forward Valpolicella Superiore with plump red cherry and integrated nut tones that translate into vanilla, spice and tobacco. The wine is richly concentrated and has syrupy red fruit flavors on the close with slightly astringent tannins. Imported by George Wine Selection.",,87,40.0,Veneto,Valpolicella Superiore,,"Corvina, Rondinella, Molinara",Fattoria Garbole
50032,US,"Aromas of roses, lychee and pineapple, followed by appealing flavors of lemon, tropical fruit and flowers, give this wine a flirty but poised character. It's balanced and fresh, and best paired with summer salads and spicy ethnic cuisine.",,87,20.0,New York,Finger Lakes,Finger Lakes,Gewürztraminer,Fox Run
