id,country,description,designation,points,price,province,region_1,region_2,variety,winery
62497,New Zealand,"Grassy and herbal on the nose, but those elements are balanced by stone fruit and citrus notes. On the palate, there's the merest hint of asparagus, but ultimately, this is a soft, fruit-driven style, round and easy to drink.",Glazebrook,87,15.0,Marlborough,,,Sauvignon Blanc,Ngatarawa
62498,US,"From the excellent Evergreen vineyard, this is a soft, appealing mix of melon and apple flavors. A little tight at the moment, but fresh and creamy.",,87,12.0,Washington,Columbia Valley (WA),Columbia Valley,Pinot Gris,RiverAerie
62499,US,"With its soft, melted mouthfeel and superripe blackberry marmalade, cherry sauce and cherry-chocolate flavors, this Zin exemplifies east side Paso. Many such wines are simple, sweet and rustic, but Kent Rosenblum lifts this one by making it dry, with layers of chewy, herb complexity.",Appellation Series,87,18.0,California,Paso Robles,Central Coast,Zinfandel,Rosenblum
62500,Australia,"Displays plenty of cola and earth aromas upfront, balanced by hints of pepper and a core of blackberry fruit. A solid, medium-bodied effort that's not overweight or overripe, just a nice, easy-drinking Shiraz with some earthy character. Drink now–2015.",,87,27.0,South Australia,Barossa Valley,,Shiraz,Ross Estate
62501,Portugal,"Ripe, soft and sweet, with easy acidity along with balanced tannins, fig flavors and a great lift of freshness to finish.",Late Bottled Vintage,87,23.0,Port,,,Port,Sandeman
62502,Italy,"Give it a few minutes to open and you will be rewarded with small berry aromas, bramble, forest floor, spice and fresh wood oak tones. The wine's structure is elegant but solid with dusty tannins on the finish.",,87,29.0,Tuscany,Chianti Classico,,Sangiovese,Agricola Querciabella
62503,Spain,"Hints of peanut and caramel vie with mineral and acacia blossom for center stage on the nose, while the palate deals nut skins, lime, kiwi and gooseberry. In the end, this is a tangy, streamlined wine that's refreshing. It has some style but it's mostly just racy and lean.",,87,15.0,Galicia,Rías Baixas,,Albariño,As Laxas
62504,US,"Even by Albariño standards, this is a particularly dry, acidic wine. It's what you look for, and what you get, in this wine from Bonny Doon's Randall Grahm. From the east side of Salinas Valley, the wine brims with tart lime zest and tangerine fruit, with a pungently peppery edge of nasturtium flower.",Ca' del Solo Vineyard,87,18.0,California,Monterey County,Central Coast,Albariño,Ca' del Solo
62505,US,"Albariño's natural acidity is amplified in this wine, which comes from one of California's chilliest growing regions and the coolest vintage in years. Consumed on its own, the acidity is so high, it's almost sour. But this is a food wine if ever there was one. With salty tapas, it will be perfect.",Estate,87,24.0,California,Monterey,Central Coast,Albariño,Cambiata
62506,US,"Tart and smoky, showing some brick around the edges and a bit of volatility in the nose and mouth. This does not have the depth of fruit to support the oak and acid; it's chalky and tart at the same time. Though not a bad wine by any means, it is not really living up to its reserve status.",Block 13 Reserve,87,45.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Canoe Ridge
62507,France,"The vineyard of Lieujean in the northern Haut-Médoc is dominated by Cabernet, and that shows in this firmly fruity, but also structured wine. It is not the power that works here, but the balance.",,87,,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Lieujean
62508,US,"This is the winery's top Pinot, Our Finest Stuff. It's nice and dry, with crisp acidity and firm tannins framing cherry cola flavors, but it's not particularly complex or ageworthy. Needs greater force, power and concentration for a reserve bottling.",O.F.S.,87,38.0,California,Russian River Valley,Sonoma,Pinot Noir,De Loach
62509,France,"As befits its provenance from the hands of the winemaking team of Château Haut-Brion, this is a solid, finely crafted wine, flavored with mint and layers of wood as well as red plums. With these tannins, it could even age a year or 2.",,87,22.0,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Clarendelle
62510,Spain,"This is a nice, traditionally styled Rioja. Delivers smooth, earthy, leathery aromas and then spicy dry fruit that's right out of Rioja 101. With good acidity, it's a very respectable table wine from a weak vintage.",Vendimia Seleccionada,87,28.0,Northern Spain,Rioja,,Tempranillo,Heras Cordon
