id,country,description,designation,points,price,province,region_1,region_2,variety,winery
12500,US,"Ripe, fleshy and opulent, this wine is also balanced and light on its feet, cohesive in oak and tannin. Dark cherry is the star, accented by anise, cola spice and a compelling hint of orange peel. Medium bodied, it'll pair well at the table, while also standing out on its own.",Leras Family Vineyards,93,56.0,California,Russian River Valley,Sonoma,Pinot Noir,Papapietro Perry
12501,US,"From a vineyard planted in 1924 in the northern reaches of the Napa Valley, Falleri is a tiny-production wine that's soft, supple and generously juicy and fruity. Boysenberry, blackberry and a trace of crisp red fruit combine around a core of earth, dotted by a floral bouquet. The finish is long and leathery.",Falleri Vineyard,93,62.0,California,Calistoga,Napa,Zinfandel,Robert Biale
12502,US,"A complex and complete wine with everything in place, this tastes delicious from the first whiff to the lingering finish. It has fresh-baked bread and light peach aromas and white-cherry flavors. Well balanced, it's layered on a subtle level and harmonious.",Brut Rosé,93,29.0,California,Anderson Valley,Mendocino/Lake Counties,Sparkling Blend,Roederer Estate
12503,US,"In only a few vintages, winemaker Regan Meador has created a splash in the New York wine scene and this Bordeaux-style red blend is a testament to the hype. A deft blend of Old and New-world styles, it contrasts silky, rich black cherry and currant flavors against deep layers of granite minerality, leafy herbs and potpourri florals. It's complex and yet so effortlessly brisk and spry. The finish is endlessly meandering.",Illegitimi Non Carborundum,93,35.0,New York,North Fork of Long Island,Long Island,Bordeaux-style Red Blend,Southold
12504,Italy,"Sleek by Amarone standards, this opens with aromas of ripe black cherry, ground pepper, raisin and a whiff of blue flower. On the palate, finely woven tannins support raspberry jam, black pepper, cocoa and a cinnamon note.",,93,65.0,Veneto,Amarone della Valpolicella,,Red Blend,Tedeschi
12505,US,"This wine from the Franscioni family's home vineyard shows tight aromas of lime candy, chalky rock, Pink Lady apple, sliced mandarin orange and a hint of honeysuckle. The palate is full of energy, with a wide range of orange flavors, from Pixie tangerines to Creamsicles, with a touch of honey on the finish.",Rosella's Vineyard,93,48.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Testarossa
12506,US,"Aged for a year in stainless-steel barrels, this wine is a combination of two vineyard blocks. The area planted to Old Wente 5 clone contributes zesty acidity and crisp apple; the V9 vineyard block is known for minerality. Acidity is balanced and the bouquet quite floral, with the palate devoted to brioche and golden honey.",Durell Vineyard Origin,93,48.0,California,Sonoma Valley,Sonoma,Chardonnay,Three Sticks
12507,US,"Earth, mud and wet clay are laid against a ripe black raspberry frame on this bottling from winemaker Larry Brooks. Plenty of life, zest and lift enliven the beautifully spiced palate, with bright red cherries, cranberries and purple flowers cut by a line of pencil-lead minerality and a savory fennel element.",Marley Anne,93,65.0,California,Edna Valley,Central Coast,Pinot Noir,Tolosa
12508,US,"From the producer's dry-farmed estate vineyard, this elegantly powerful wine opens in cracked black pepper, dried herb and cedar, continuing the peppery theme on the palate. Black cherry and high-toned blackberry combine with the more savory elements, with an overall softness of texture and lengthy finish.",,93,38.0,California,Rutherford,Napa,Zinfandel,Tres Sabores
12509,France,"Ripe and full of raspberries, this has a structure well cushioned by the ripe texture. The wine is packed with acidity while having a sense of floral, aromatic fruitiness. From four different parcels in premier cru, this seductive wine will also age well. Drink from 2018.",Premier Cru,93,113.0,Burgundy,Chambolle-Musigny,,Pinot Noir,Joseph Drouhin
12510,Spain,"Classic Rioja aromas of berry fruits, spice, tobacco and vanilla lead to a grabby palate that's slightly bumpy in feel. Dry spicy plum and berry flavors are lightly herbal, while the finish tastes the same.",Reserva,89,19.0,Northern Spain,Rioja,,Tempranillo,Montecillo
12511,US,"A wonderful creamy texture accompanies ripe cherry and blackberry flavors in this full-bodied, smooth and mellow wine. Rich cherry and cappucino flavors fill the corners of the mouth, mingling with a velvety layer of fine tannins.",Independence Point,89,12.0,California,California,California Other,Cabernet Sauvignon,Montevina
12512,Italy,"Made of 85% Sangiovese and 15% Canaiolo, this opens with violet and leather aromas. The savory, straightforward palate offers mature black cherry, sage and anise flavors, supported by lithe tannins. Enjoy through 2020.",Riserva,89,25.0,Tuscany,Chianti,,Red Blend,Pietro Beconcini
12513,Spain,"Although this Carignan-Garnacha blend smells gritty and not as ripe as vintages like 2012 and 2011, it is fresh and full in feel, with grippy tannins. Flavors of blackened spice, plum and berry fruits finish full, fleshy and a touch hot. Drink through 2019.",Brunus,89,31.0,Catalonia,Montsant,,Cariñena-Garnacha,Portal del Montsant
12514,US,"This is a thorough exploration of Chardonnay, leading with vanilla, apple, buttercream and baking spice aromas. The palate rides lemony acidity into seared apple and nectarine flavors, finishing on marzipan and a citrus tang.",,89,20.0,California,Santa Barbara County,Central Coast,Chardonnay,Rancho Sisquoc
12515,US,"This mixes darker shades of berry and cherry fruit, with a streak of tobacco and well-managed tannins. It's polished and carries moderate weight through the finish.",La Colina Vineyard,89,65.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Rocky Point
12516,Italy,"A blend of 85% Sangiovese, 10% Canaiolo and 5% Colorino, this offers delicate ripe black-skinned fruit and cooking spice aromas. On the palate, ripe black cherry, espresso and clove flavors are framed by firm tannins. Drink through 2019.",Riserva,89,30.0,Tuscany,Chianti Classico,,Red Blend,Mangiacane
12517,Australia,"Solve every steakhouse wine-ordering quandary with this bottle, which features enough structure to stand up to rare beef without any excessive weight. Hints of vanilla and dark chocolate add depth and interest to the red currant fruit, while fine, dusty tannins clean up the finish. Drink now–2023.",Potrait,89,19.0,South Australia,Barossa Valley,,Cabernet Sauvignon,Peter Lehmann
12518,France,"The nose just hints at earth and autumnal oak leaf. The palate comes with slight grip, very fine tannins and more earthy leafy aromas. Red-cherry fruit is just hinted at. This is slender and bone dry and will come into its own when served with subtle mushroom or game dishes.",Les Princes Abbés,89,27.0,Alsace,Alsace,,Pinot Noir,Domaines Schlumberger
12519,Italy,"Spiced plum, truffle, new leather, coconut and oak aromas lead the nose. Taut and tightly wound, the palate offers dried cherry, tart cranberry, espresso, anise and sage notes. Give the tannins another few years to unwind then drink to capture the remaining fruit.",,89,54.0,Tuscany,Brunello di Montalcino,,Sangiovese,La Rasina
12520,Italy,"This opens with ripe woodland berry, pressed iris and chopped herb aromas. The young, taut palate offers Morello cherry fruit accented by orange zest and clove against a backdrop of fine-grained tannins. A strawberry note wraps up the tight, fresh finish. Drink through 2018.",,89,14.0,Tuscany,Rosso di Montepulciano,,Sangiovese,Le Bèrne
12521,Italy,"Made of 80% Sangiovese and 20% Cabernet Sauvignon, this evokes ripe strawberry and baking spice on the nose. The palate is accessible despite chewy tannins, delivering black plum and pipe tobacco flavors. Enjoy through 2019.",,89,18.0,Tuscany,Carmignano,,Red Blend,Le Farnete
12522,France,"Crunchy fresh notes of red cherry dominate aromatically. The palate is light, juicy, crisp and very refreshing. This is rustic and ready, but also full of charm with its animating red fruit. The finish is dry and invigorating.",,89,20.0,Alsace,Alsace,,Pinot Noir,Kuentz-Bas
