id,country,description,designation,points,price,province,region_1,region_2,variety,winery
74997,US,"This barrel-fermented estate wine is luscious and creamy, coating the palate with generous flavors of apricot, peach and melon. The concentration is impressive, as are the barrel flavors on the finish. Vanilla, coconut, caramel and lightly buttered almonds all contribute to the nuanced detail.",Germaine Vineyard,92,25.0,Oregon,Eola-Amity Hills,Willamette Valley,Viognier,Cristom
74998,US,"A good followup to last year's bottling, although the wine isn't quite as ripe and lush. The cool vintage has brought out a tannic earthiness, as well as a blast of black pepper that makes the blackberry and blueberry fruit tingly on the tongue. It's a complicated, individualistic wine, and you might want to cellar it for up to six years and see what happens.",,92,45.0,California,Atlas Peak,Napa,Syrah,Aril
74999,US,"This could be the best Pinot Blanc in Oregon right now, with lushness from barrel fermentation offset by the delicate balance throughout. Despite its modest 12.5% alcohol, this is a wine of considerable depth, with a mix of ripe yellow fruits and persistent, toasty highlights.",,92,25.0,Oregon,Willamette Valley,Willamette Valley,Pinot Blanc,Ken Wright
75000,US,"A tough, stringy Pinot, tight in acids, with everyday cherry, cola and persimmon flavors. With a silky texture, it's not bad for the price.",Cool Climate,85,17.0,California,Sonoma Coast,Sonoma,Pinot Noir,Cline
75001,US,"Light to the point of being a bit dilute, this Viognier has a cotton-candy character, like spun sugar around rhubarb. The tart, not quite fully ripe fruit brings it to a quick, acidic finish.",,85,20.0,Oregon,Willamette Valley,Willamette Valley,Viognier,Emerson
75002,France,"Toward the crisp side of Pinot Blanc, this is a green-fruited wine, fresh and textured. It is pure, fruity and high in acidity at this stage. Give the wine a year or two to broaden out.",Tradition,85,17.0,Alsace,Alsace,,Pinot Blanc,Emile Beyer
75003,France,"Tannins and strong smoky wood flavors dominate this wine.Very dark and dry in texture, its fruitiness hides behind all this hard structure and dense character.",Nature'S,85,22.0,Alsace,Alsace,,Pinot Noir,Louis Sipp
75004,Italy,"This is an accessible red, with aromas of black fruit, exotic spices and oak. The palate shows plum, chocolate and bitter cherry flavors and a warmth that reflects the heat of the vintage. Drink soon.",,85,22.0,Tuscany,Rosso di Montepulciano,,Red Blend,Lunadoro
75005,US,"Aged mostly in stainless steel with a touch of new French oak (10%), this has notes of toast and char along with freshly cut mango. It's on the lighter side of medium bodied, drinking just a hair off dry with a bitter note on the finish.",,85,15.0,Oregon,Umpqua Valley,Southern Oregon,Chardonnay,Girardet
75006,Portugal,"True to it's varietal characteristics, this is a very perfumed wine with a light and delicate nature. Pale in color with honey and candy fragrances, it's a rosé for summer drinking, or a bright apéritif.",Colecção Privada,85,,Península de Setúbal,,,Moscatel Roxo,José Maria da Fonseca
