id,country,description,designation,points,price,province,region_1,region_2,variety,winery
112493,Italy,"Attractive on the nose, with plum, raisin and chocolate. However, it's ultra sweet and candied, as if some sugar were left in it. As for the finish, it's syrupy.",,83,11.0,Sicily & Sardinia,Sicilia,,Red Blend,Colosi
112494,US,"Way too soft and flabby, a wine that needs zest to boost the ripe blackberry and coffee flavors.",Reserve,83,24.0,California,Livermore Valley,Central Coast,Syrah,Concannon
112495,US,This Zin-Syrah blend is a bit raisiny and Porty. Finishes sweet.,Tesoro Red Wine,83,15.0,California,Sierra Foothills,Sierra Foothills,Red Blend,Zucca
112496,US,"Decent and crisp, with waterered-down citrus flavors. Finishes a little sweet.",,83,14.0,California,Napa Valley,Napa,Sauvignon Blanc,Sterling
112497,Chile,"Waxy oak, citrus and apple kick it off, followed by almond, coconut and apple flavors. A sharp beam of acidity makes it lively, but the flavors never really rise above basic.",,83,8.0,Maipo Valley,,,Chardonnay,Tarapaca
112498,US,"Not much going on. Clean and dry, with watery flavors of apples and oak.",Indindoli Vineyard,83,28.0,California,Russian River Valley,Sonoma,Chardonnay,Waugh Cellars
112499,Italy,"Heavily reduced citrus on the nose, with more piercing citrus and mango on the palate. Finishes racy but scouring. Some nuttiness and charm lurks below the spiked acidity, but you have to work to find it.",Loggia Della Serra,83,21.0,Southern Italy,Greco di Tufo,,Greco,Terredora Di Paolo
112500,US,"Lovely lemon drop and tangerine fruit creates a juicy, vibrant mouthfeel, with a baby aspirin/orange candy streak running down the midpalate. Tasted just after being released, this looks likely to improve over the next year or two.",Métier Blanc,90,32.0,Washington,Columbia Valley (WA),Columbia Valley,White Blend,Doyenne
112501,France,"The Duboeuf family property on the edge of the village of Juliénas produces a satisfyingly full-bodied wine, its fruit and tannins offering balance and ripeness. Acidity and cherry flavors are dominant over the dry core.",Château des Capitans,90,,Beaujolais,Juliénas,,Gamay,Georges Duboeuf
112502,US,"Inviting, fresh, racy scents mix pineapple, citrus and light tropical fruits. There is an interesting mouthfeel not unlike Sémillon, though none is indicated in the blend. The wine has substantial length and unusual highlights of spice, clove and mint, along with plenty of rich, ripe fruit to hold down the center palate. Not shy at 14.8% alcohol, this is a fine effort from consulting winemaker Charlie Hoppes.",Estate,90,18.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Goose Ridge
