id,country,description,designation,points,price,province,region_1,region_2,variety,winery
124991,US,"Soft, ripe and decadent, this Pinot, from the Napa side of Carneros, brims with blackberry, cherry, cola, vanilla, licorice and cinnamon spice flavors. It's full-bodied, but has Pinot's elegant silkiness. At its best now and for a couple years.",Regulus,87,40.0,California,Carneros,Napa-Sonoma,Pinot Noir,Adastra
124992,Italy,Here's a well-toned Prosecco Brut with elegant mineral tones backed by peach blossom and dried apricot. The wine is genuine and clean with crisp freshness and zesty lemon flavors.,Cuvée Brut,87,20.0,Veneto,Prosecco di Conegliano,,Prosecco,Carpenè Malvolti
124993,Italy,"Fragrant and delicately musky, this Prosecco Cartizze has pretty tones of white pulpy peach, honeydew melon and a touch of sweet grapefruit. The wine offers a nice balance between fruity freshness and crisp acidity and has that characteristic sourness on the close.",,87,31.0,Veneto,Prosecco Superiore di Cartizze,,Prosecco,Bortolin
124994,Italy,"Here's a soft, creamy Prosecco Extra Dry (the blend contains 10% Chardonnay for smoothness) with delicate floral harmony backed by sweet fruit tones and golden honey. The wine offers a lively, no-fuss approach that would pair well with afternoon snacks.",Extra Dry,87,16.0,Veneto,Prosecco di Valdobbiadene,,Prosecco,Bortolotti
124995,US,"In calling this southern Rhône-style blend Bistro Style, the winery means to suggest friends gathered in a nice restaurant, having fun and not being fussy about what's in the bottle. That perfectly describes this dry, soft red wine, with its flavors of blackberries, cherries and cocoa.",Sultry Red Bistro Style Wine,87,13.0,California,California,California Other,Red Blend,Hey Mambo
124996,US,"This dry, spicy wine is made for immediate enjoyment. It offers rich flavors of cherries, cola, vanilla-almond biscotti and cinnamon in a light-bodied texture.",,87,24.0,California,Monterey,Central Coast,Pinot Noir,La Rochelle
124997,US,"With only .01 residual sugar, this Gewurz really is dry, as the label says. With grapes sourced mainly from the well-known Ferrington Vineyard, it's very spice, with zesty lemon, pineapple, lychee and green apple flavors.",Dry,87,24.0,California,Anderson Valley,Mendocino/Lake Counties,Gewürztraminer,Londer
124998,US,"You could teach an “Intro to Santa Barbara Pinot Noir” with this wine. It really defines the cool-climate coast, with its fine, silky texture, crisp acids, dryness and ripeness. It offers an array of cherry, raspberry, vanilla and cinnamon spice flavors.",,87,25.0,California,Santa Barbara County,Central Coast,Pinot Noir,Martin Ray
124999,Austria,"One of the new generation of Grüners, reflecting the terroir of the Weinviertel of Lower Austria. It is fresh, crisp, clean—maybe a little too clean—but certainly showing green apple and pepper flavors touched with white fruits. Screwcap.",Weinviertel DAC,87,18.0,Weinviertel,,,Grüner Veltliner,Zull
125000,US,"This savory, polished Riesling comes from an up-and-coming vineyard in Philo. The wine is crisp and racy, with a tangy minerality undergirding the peach, apple, citrus and diesel flavors that finish a little off-dry.",Estate,87,22.0,California,Anderson Valley,Mendocino/Lake Counties,Riesling,Toulouse
125001,US,"This is spicy and sharp, with high-toned fruit flavors of berry and currant. Acids are strong and provide good focus, with a spicy/peppery note resonating through the finish.",Narcissa Red,87,24.0,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Whitman Cellars
125002,US,"From a vineyard in Philo comes this full-bodied rosé. Made by combining finished Pinot Noir wine with stainless steel-fermented free run juice, it has tart flavors of cherry skin, cherry juice and minerals.",Philo Rosé,87,22.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Standish
125003,Austria,"Freshly perfumed wine with flavors of spice, tropical fruits, quince and apricots. This is a light, lively wine, great for an aperitif.",Steirische Klassik,87,16.0,Südoststeiermark,,,Gelber Muskateller,Neumeister
125004,Greece,"The White Fox is a refreshing, crisp white that offers a balance of acidity, spice and creamy pear flavors. There's body and the wine has weight without being heavy, its lemon acidity keeping it aloft.",White Fox,87,15.0,Corinth,,,Roditis,Palivou
125005,US,"A very ripe Zinfandel that shows plenty of briary, brambly aromas and flavors and a robust mouthfeel. Packed with puckery tannins, the flavors of wild blackberries, cherries and raspberries are spiced with black pepper, nutmeg and clove.",Todd Maus Vineyard,87,26.0,California,Sonoma Valley,Sonoma,Zinfandel,Napoma
125006,Italy,"This is a frothy and foamy sweet-smelling Prosecco with pretty aromas of chopped fruit, kiwi and white peach. The active bubbling helps make the wine taste very creamy and smooth in the mouth and that characteristic sweetness kicks in on the finale.",1987 Anniversario Dry,87,20.0,Veneto,Prosecco di Conegliano e Valdobbiadene,,Prosecco,Astoria
125007,Italy,"Belcanto di Bellussi is a soapy, fragrant expression of Prosecco with frothy cream and pretty aromas of fruity pulp and peach. This sparkler has a creamy mouthfeel and a generous sweet spot in the form of honey and melon.",Belcanto Extra Dry,87,14.0,Veneto,Prosecco di Valdobbiadene,,Prosecco,Bellussi
125008,US,"Made in a spare, angular style, this has citrus zest, mineral and pear flavors, brightened by acidity. It's an elegant wine with a creamy, buttery texture.",Savoy Vineyard,87,35.0,California,Anderson Valley,Mendocino/Lake Counties,Chardonnay,Breggo
125009,France,"A wide-open, creamy wine, with flavors of ripe apples. It is round, generous, full-bodied, only just touched by minerality and edged with wood. Drink over the next 2–3 years.",,87,,Burgundy,Meursault,,Chardonnay,Corton André
125010,France,"Though not terribly complex or exciting, this is a well-made Minervois with soft red fruit and kirsch aromas backed by hints of spice and light floral characters. Approachable tannins and light acidity followed by a short, clean finish make this an easy-to-drink and enjoyable selection.",,85,12.0,Languedoc-Roussillon,Minervois,,Rhône-style Red Blend,Domaine Montaude
125011,Argentina,"Pungent aromas of tangerine and passionfruit get it going, so it's not shocking that the palate is zesty and citric, with flavors of passionfruit, lemon and orange. A little dilute in body, with passionfruit as the prime survivor on the finish.",Estate,85,16.0,Mendoza Province,Mendoza,,Sauvignon Blanc,Doña Paula
125012,Argentina,"Plum and dry spice aromas are solid and don't steer you wrong, while the palate has reasonably good depth and feel along with sweet berry flavors that show no variety or evolution once they get going. A little sugary on the finish, but solid as a whole.",,85,14.0,Other,Neuquén,,Pinot Noir,Caitec
125013,Chile,"Roasted, floral, candied aromas precede a zesty, medium-weight palate of red plum, cherry and herbal flavors. The palate is juicy and acidic, with racy red fruit and scour and scrape to the finish. Straightforward Carmenère without much softness or richness.",Reserva,85,,Central Valley,,,Carmenère,Echeverria
125014,Chile,"A stocky, meaty style of Carmenère, with earthy aromas and then sweet, choppy flavors of cherry, plums and herbs. Turns more herbal on the back side, with carob and briar on the long, fairly consistent finish. Middle-of-the-road wine that stands up to scrutiny.",Reserva,85,12.0,Maipo Valley,,,Carmenère,Gracia de Chile
125015,US,"As with the Indian Wells Cabernet, winemaker Bob Bertheau is using a considerable amount of Syrah (19%) to beef up the flavors. The Merlot here seems a bit light, it fades out in midpalate. There is a chalkiness to the finish, and the tannins are just a little green.",Indian Wells,85,18.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Chateau Ste. Michelle
125016,US,"There's ample varietal typicity here, with black and white pepper and meat notes on top of layers of green herbs, and licorice. Structurally, however, the wine has a few sharp elbows, with dry tannins and a disjointed oak note. All this is topped off by a pleasant, Fernet Branca-spiked finish. Drink now.",,85,19.0,Pennsylvania,Pennsylvania,,Syrah,Chaddsford
125017,US,"Silky and dry, but a bit harsh and raw around the edges, with some green, unripe flavors of mint accompanying the cherries and oak. Not likely to improve, so drink now, after a good decanting.",Leepin Vineyard,85,45.0,California,Sonoma Coast,Sonoma,Pinot Noir,Churchill Cellars
125018,US,"Shows some Riesling character in the petrol, honeysuckle and citrus fruit aromas and flavors, and that crisp Central Coast acidity makes it very bright and clean. It's a bit thin, but nice enough as an apéritif sipper.",Dry,85,18.0,California,Central Coast,Central Coast,Riesling,Claiborne & Churchill
125019,France,"Ripe black plum and berry dominate the nose and mouth on this Merlot, with appropriate accents of coffee granules and black pepper to spice things up. Lightweight but round with a medium-length finish.",Sélection Delas,85,9.0,Languedoc-Roussillon,Vin de Pays d'Oc,,Merlot,Delas Frères
125020,France,"A great selection for those seeking an affordable organically grown Merlot. Ripe red berries along with notes of mocha and spearmint unfold on the nose, while red plum and cherry take center stage in the mouth. With solid structure and good balance, this is sure to be a crowd pleaser.",Originel Made with Organically Grown Grapes,85,10.0,Languedoc-Roussillon,Vin de Pays d'Oc,,Merlot,Barton & Guestier
125021,Argentina,"Begins with bold mint and prune aromas, and it's also sort of foxy and sweaty. The palate is better, with saucy, tart fruit that leans toward tomato, herbs and dry berry fruit. Solid and round enough; decent with a few faults.",Reserve,85,15.0,Mendoza Province,Mendoza,,Syrah,Aconcagua
125022,Argentina,"Generic berry aromas with a hint of tomato and bramble set this off as a different breed, which it is, considering it's 78% Tannat. The palate has biting tannings and toughness, while the flavors of raspberry and strawberry are snappy. Finishes strange, with pronounced butter and foxiness. Has its positives and negatives.",Tannat-Malbec,85,15.0,Mendoza Province,Mendoza,,Red Blend,Alma de los Andes
125023,Italy,"Here's a pristine and crystalline Pinot Grigio with fresh tones of almond skin, orange zest, lemon drop and white mineral. The wine is sharp and slightly tart in the mouth and those zesty qualities would work well with vegetables au gratin or fried mozzarella sticks.",,85,13.0,Northeastern Italy,Delle Venezie,,Pinot Grigio,Luna Nuda
125024,US,"Opens with horsey notes typical of Lemberger, followed by tones of cherry pie and preserved lemons. Crisp, almost tart on the tongue with a short-to-medium finish of singed cherries. Drink up.",,85,19.0,New York,Finger Lakes,Finger Lakes,Lemberger,Keuka Spring
125025,France,"Moderately intense on the nose with dominating earthy, forest floor notes backed by red plum guts and cherry along with a hint of vanilla ice cream with raspberry sauce swirled in. Dusty tannins flesh out the palate and the finish offers some mild black pepper spice.",Unfiltered,85,13.0,Languedoc-Roussillon,Vin de Pays d'Oc,,Pinot Noir,La Forge Estate
125026,US,"An interesting Chardonnay that does not quite all come together. Lemons, orange peel and other lively citrus aromas are mixed in with flavors of grain—cracker, oatmeal, and so on. The finish confuses rather than blends.",,85,25.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Le Chateau
125027,US,"This Rhône white blend is fruity, slightly sweet and simple. It has jammy flavors of pineapples, lemons, limes, honeysuckle and vanilla, offset by crisp acidity.",The Maverick Alder Springs Vineyard,85,42.0,California,Mendocino,Mendocino/Lake Counties,Rhône-style White Blend,Sunbox Eleven
125028,US,"Lusty and fruity, with bright flavors of berries, cherries, plums, mocha and spices, wrapped into smooth tannins. Drink now. Merlot, Cab, Syrah.",,85,8.0,California,California,California Other,Red Blend,Tiz
125029,Italy,"Tommasi's easy-going Romeo is a well-priced Italian red with fresh aromas of wild berries, blue flowers and slight shadings of sweet spice. Complete with a screw-cap closure, the wine would work well at picnics and informal lunches.",Romeo,85,10.0,Northeastern Italy,Delle Venezie,,Red Blend,Tommasi
125030,US,"Some good currant, cherry, cola and licorice flavors in this dry, balanced wine. It's one of the better Merlots out there at this affordable price.",,85,10.0,California,California,California Other,Merlot,Tre
125031,US,"A good effort in the rough-and-ready genre. Aromas are straightforward plum shot through with earthy notes. The palate shows good cherry fruit and is quite gripping, with slightly rustic tannins that carry over to the short finish. Give it a year in the cellar to smooth out, then try with hearty beef dishes.",V. by Vivác Single Vineyard,85,22.0,New Mexico,New Mexico,,Cabernet Sauvignon,Vivác Winery
125032,US,"After some initial sulfur notes blew off, intense aromas of red fruit and grilled vegetables appeared. It's a bit watery in the mouth but shows nice cherry fruit. The clipped finish winds up on a faint note of licorice. Drink now.",,85,20.0,New York,Finger Lakes,Finger Lakes,Cabernet Sauvignon,Rooster Hill
125033,US,"Sweet and enticing, this is an easy-to-like wine made without obvious oak. Flavors run to plum and plum jam and though there are some stewed notes in the mouth, the overall fruit expression is quite honest. Try with roast pork. Drink now through 2011.",Nautique Esprit de Rouge,85,14.0,New York,North Fork of Long Island,Long Island,Merlot-Cabernet Sauvignon,Peconic Bay Winery
125034,Argentina,"Big, bulky and granular, with high alcohol and saucy, raisiny aromas. The palate and flavors find a comfortable resting spot, and the wine's baked berry and brown sugar flavors are solid if a little forced and sweet. A rich wine that needs to be drunk soon.",Reserve,85,20.0,Mendoza Province,Tupungato,,Cabernet Sauvignon,Andeluna
125035,US,"Very, very ripe in blackberries, currants and prunes, with oak elaborations. The flavors are rich, but the wine is a bit lacking in structure and depth of interest. Drink now.",Private Reserve,85,40.0,California,Monterey County,Central Coast,Merlot,Château Julien
125036,US,"The blend includes 18% Syrah, which helps to emphasize the spice and sweet fruit flavors. But in the back, this is a stiff and fairly tannic wine, with a disconnect between the strawberry fruit and the slightly stemmy, herbal finish.",Indian Wells,85,18.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Chateau Ste. Michelle
125037,Italy,Here's a fresh and floral wine with an easy disposition and vibrant aromas of citrus and spring flowers. The body is light and lean—as informal Pinot Grigio should be—and the wine ends with a zesty blast of acidity. We like this vintage much more than 2006.,,85,12.0,Northeastern Italy,Delle Venezie,,Pinot Grigio,Bivio
125038,Argentina,"Sweet berry and cherry aromas are fruity and a little heavy, while the palate is solid in feel and features flavors of sweet plum and berry fruit. Chewy on the finish, with good mouthfeel. Exactly what you'd want from a wine in this price range.",,85,10.0,Mendoza Province,Mendoza,,Malbec,Bodega Norton
125039,Argentina,"Snappy red fruit aromas endow this Cab with approachability, while the palate is clean, tasty and a little lean, with spicy, piquant raspberry flavors. Dry and peppery on the finish, but honest and clean throughout. Average wine; good value.",,85,9.0,Mendoza Province,Mendoza,,Cabernet Sauvignon,Finca La Niña
