id,country,description,designation,points,price,province,region_1,region_2,variety,winery
99994,Chile,"Full-bodied, rich and packed with sweet fruit, Mingre signals that J. Bouchon is ready for prime time. A blend of Cabernet Sauvignon, Malbec, Carmenère and Syrah that tips the scales with heft and concentration. It's slightly herbal and warm, with a creamy, well-oaked palate and flavors of blackberry and black plum. Needs some time in bottle.",Mingre,91,40.0,Maule Valley,,,Red Blend,J. Bouchon
99995,US,"Black cherry and berry fruits are front and center, tannins are ripe but carry an herbal edge, and the time in barrels adds a chocolaty underpinning. The finish goes dark, with mocha, espresso, black olive and smoke, and the alcohol rests at a sensible 14.5%.",Morrison Lane,91,45.0,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,K Vintners
99996,US,"This estate-grown Chardonnay opens with lots of new oak aromas, excellent fruit material, with Meyer lemon, yellow apple, hints of white peach. The phenolics give the wine some excellent texture, and it has a long and smooth finish.",DuBrul Vineyard,91,50.0,Washington,Yakima Valley,Columbia Valley,Chardonnay,Côte Bonneville
99997,US,"A lovely Merlot, showing a French influence in its Bordeaux-like delicacy and earthiness. Feels elegant in the mouth, a supple, lightly oaked wine with layers of cherries, tobacco, cedar and sage. Good value.",,91,26.0,California,Napa Valley,Napa,Merlot,Clos du Val
99998,US,"The acids in white wines of the 2008 vintage are superb; and the beautiful match of acids and sugars in many Washington Rieslings is nicely displayed here. The aromas are ripe and rich with a nice mix of floral, apple, stone fruit and light tropical fruit. Flavors evolve with pleasingly sweet hints of honey and tea; this feels like a wine that could age beautifully.",,91,16.0,Washington,Columbia Valley (WA),Columbia Valley,Riesling,Trust
99999,US,"Aromatic and lively, with honeysuckle, peach, apricot, apple and cinnamon pear scents. It's delicate and complex in the mouth; bone dry and yet carries a lovely sensation of sweet blossom. Another very fine effort from this up and coming Chelan winery.",Stone's Throw Vineyard,91,18.0,Washington,Columbia Valley (WA),Columbia Valley,Riesling,Nefarious Cellars
100000,Italy,"This is a sophisticated and elegant wine made in a succulent, New World style with intense aromas of chocolate, spice and plump, ripe cherry fruit. The wine tastes smooth and rich and offer soft tannins backed by long-lasting berry flavors.",Avi Riserva,91,60.0,Central Italy,Sangiovese di Romagna Superiore,,Sangiovese,San Patrignano
100001,Italy,"This is a beautiful expression of Montepulciano d'Abruzzo that straddles a fine line between being traditional and modern. Natural fruit tones come through and are not overburdened by oak, although nice shadings of spice and vanilla do appear in the background.",Marina Cvetic,91,33.0,Central Italy,Montepulciano d'Abruzzo,,Montepulciano,Masciarelli
100002,US,"Small amounts of Mourvèdre, Syrah, Counoise and Cinsault add complexity to this excellent Grenache, grown at the Ciel du Cheval vineyard on Red Mountain. Supple and aromatic, it expresses itself with ripe, sweet strawberry and black cherry fruit, whiffs of pepper and pencil lead, and a full-bodied midpalate that continues cleanly through a lingering finish.",,91,30.0,Washington,Red Mountain,Columbia Valley,Grenache,McCrea Cellars
100003,US,"Firm and compact, it mixes wild berry, plum and cassis fruits, giving this Cab-dominated blend the sleek appeal of a good St. Emilion, but without the aggressive herbaceousness. There is no obvious new oak here, but lovely suggestions of barrel that never override the superb fruit.",DuBrul Vineyard Carriage House Red,90,50.0,Washington,Yakima Valley,Columbia Valley,Red Blend,Côte Bonneville
100004,US,"Great price for a Zin of this purity and varietal truth. Dry and medium-bodied, but sweet in fruit, it shows wonderful flavors of wild forest blackberries, with complications from black pepper, orange peel, anise and Asian spices. The texture is sheer velvet. Best now and through 2010.",,90,20.0,California,Sonoma Valley,Sonoma,Zinfandel,Cline
100005,US,"A delicate, silky and sensual Pinot Noir that shows real value. Firmed and toned by racy acidity, it shows polished flavors of cherries, raspberries, sassafras, cola and cinnamon spice.",,90,20.0,California,Sonoma County,Sonoma,Pinot Noir,Chateau St. Jean
100006,France,"This rich botrytized wine is certainly sweet. But the intense dry botrytis character is much more evident, with an edge of bitter honey, crushed brown sugar and tight, taut acidity. Put all this down to youth, because this potentially delicious wine needs aging for at least another five years.",Les Churelles de Juchepie,90,30.0,Loire Valley,Coteaux du Layon La Faye,,Chenin Blanc,Domaine de Juchepie
100007,US,"Old vine fruit from Sagemoor and Kiona blends with newer fruit from Ciel du Cheval. This is 100% Cabernet Sauvignon, and it opens up slowly. Layered and complex, it mixes leaf, herb, and somewhat dusty tannins over tangy, tight, immaculate red fruits. Needs breathing time and more bottle age, but it's elegant and well-crafted.",Big Papa Old Vine,90,45.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Efeste
100008,US,"Sharp scents with a light hint of cardboard, piercing lemon oil and pineapple, minerality and lemon tea. The flavors follow, and the wine has good concentration and depth, with a dry, toasted cracker and wet stone finish. It gets better and better in the mouth.",,90,14.0,Washington,Yakima Valley,Columbia Valley,Riesling,Airfield Estates
100009,Australia,"This blend of 63% Shiraz, 18% Cabernet Sauvignon, 10% Merlot and 9% Cabernet Franc starts off with herbal, smoky, green-peppercorn aromas, but really rounds into shape on the palate, where it offers blueberry fruit and hints of maple syrup and vanilla. It's full-bodied and lush in texture, suggesting early maturation. Drink now–2013.",Keyneton Estate Euphonium,90,45.0,South Australia,Barossa,,Red Blend,Henschke
100010,US,"This is 100% varietal, all Lewis vineyard fruit. The aromas have the smoky, meaty, brambly fruit character of the Dunham Lewis bottling, but the wine overall is more restrained, with a strong leafy note under very pretty raspberry fruit.",,90,32.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Bunchgrass
100011,Italy,Shardana is a joint venture between Sardinia's Cantina Santadi and importers Neil and Maria Empson. The opulent wine consists of Carignano with a small percentage of Syrah and the result is a rich and deeply penetrating wine with aromas of black cherry and mature fruit.,Shardana,90,30.0,Sicily & Sardinia,Valli di Porto Pino,,Red Blend,Cantina Santadi
100012,Italy,"This edition of Mater Matuta shows more sophistication and harmony and proves that this well-loved Syrah-Petit Verdot blend from Lazio benefits from two or three years of bottle aging. The wine is bold and ripe with raw fruit flavors and offers chewy, soft tannins on the close.",Mater Matuta,90,57.0,Central Italy,Lazio,,Red Blend,Casale del Giglio
100013,Australia,"This full-bodied, creamy-textured wine is a bit peppery and herbal but also filled with lush cherry fruit, making for a dynamic, engaging contrast. The slightly dusty, peppery edge to the finish will help it stand up to fattier cuts of beef or lamb.",Tipico Grenache-Monastrell-Shiraz,90,23.0,South Australia,McLaren Vale,,Rhône-style Red Blend,Cascabel
100014,Italy,"This vintage of Rubesco Riserva exhibits beautiful elegance and linearity (compared to the hotter 2003) with bright aromas of black fruit, cherry, moist earth and spice. The wine is firm and compact with lingering clove and pepper on the close.",Rubesco Riserva Vigna Monticchio,90,55.0,Central Italy,Torgiano,,Red Blend,Lungarotti
100015,South Africa,"Full-bodied with juicy flavors of berry and plum underscored by smoke, spicebox and leather, this blend of Cabernet Sauvignon, Pinotage, Merlot and Cabernet Franc has an ageable and elegant character whose slight rigidity will soften over time. Pair with grilled meats, robust cheeses.",Kadette,90,13.0,Stellenbosch,,,Red Blend,Kanonkop
100016,US,"Ripe berries, loaded with spice, concentrate the flavors of this exceptionally smooth, big-bodied Syrah. As is the custom with Sequel, the grapes are a blend of many vineyards and AVAs, which certainly enhances the polished mouthfeel, but at the expense of specificity. The acids stick out a little bit, but are soon covered in loads of chocolate and butterscotch barrel flavors. Drink soon.",,90,55.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Sequel
100017,US,"Drinks rather soft and pastry desserty now, with appealing flavors of blackberry tart, black cherry pie, anise, vanilla bean, mocha, cedar and cinnamon spice. Appealing for its direct lusciousness, but a little obvious, and could develop bottle bouquet and complexity after 2011.",,90,65.0,California,Oakville,Napa,Cabernet Sauvignon,Showket
100018,Italy,"Made with late-harvest Moscato grapes, this light amber dessert wine boasts evolved aromas of caramel, roasted chestnuts, honey and dried apricot. The wine stays in contact with the skins for three days to achieve thicker, richer structure and deeper texture.",Hermes,90,37.0,Sicily & Sardinia,Isola dei Nuraghi,,Moscato,Tenute Soletta
100019,France,"Rich, creamy Chenin Blanc, with flavors of lime and yellow plums, with a vibrant acidity that gives freshness but also ripeness. Red currant flavors go along with a final juiciness. Showing delicious, mouthfilling, easy fruit, it is ready to drink now.",Les Noëls de Montbenault,90,,Loire Valley,Anjou,,Chenin Blanc,Richard Leroy
100020,France,"Deiss has brought quite a bit of flavor intensity to the often recalcitrant Pinot Blanc; Indian spices, browned apple, clove and petroleum are the themes here. Concentration is evident on the crisp palate, which finishes on a vanilla note.",Bergheim,88,35.0,Alsace,Alsace,,Pinot Blanc,Domaine Marcel Deiss
100021,France,"A unique wine for Alsace, this blend of Chardonnay and its kissing cousin, Pinot Auxerrois, is fashioned in a Burgundy style. It's stylish and richly textured with vanilla and luscious tropical fruit up front and notes of apple and wet stones at the back. Flavorful but short finish. Try with salmon. Drink now or hold a year or two for more complexity.",ZIND,88,36.0,Alsace,Alsace,,White Blend,Domaine Zind-Humbrecht
100022,Germany,"Elegant, though there's no shortage of density to these flavors. Membrillo, sour drops and apricot are the main themes, set against a mineral undertow. The palate is crisp and balanced though quite off-dry, winding down to a long, subtle finish of stone fruits. Great now, but will improve over the next few years.",Bernkasteler Doctor Spätlese,88,,Mosel,,,Riesling,Dr. H. Thanisch (Erben Thanisch)
100023,South Africa,"Herbs, pepper, cedar and smoked sausage on the nose and palate give this Cabernet a rustic, inviting character. Flavors are delivered in a mouthfilling, layered way on the tongue, with lots of spice and cedar in the finish. Good minerality and balance mean it's not overpowering for food.",Finlayson Family Vineyards,88,23.0,Stellenbosch,,,Cabernet Sauvignon,Edgebaston
100024,Spain,"An oaky, modern-style wine with a staunch mocha and vanilla influence, but the fruit is ripe and rich enough to handle it. Spicy and grainy on the nose, with vanilla and resin seeping through. The palate remains woody but is full of berry flavors, while the omnipresent barrel influence carries onto the rich, ripe finish.",Crianza,88,12.0,Northern Spain,Rioja,,Tempranillo,El Coto
100025,US,"This captures the sense of place and commitment to elegance that characterize the pricier Evening Land Oregon Pinots. Tart, assertive, spicy and unrepentantly herbal, it's a delightful wine for near-term enjoyment.",,88,25.0,Oregon,Oregon,Oregon Other,Pinot Noir,Evening Land
100026,US,"Quite tart for a grape that usually is not known for its acidity, this sharp, spicy Syrah is loaded with concentrated cranberry and raspberry fruit. It would be a fine companion to roasted poultry, or pork with some sort of red fruit sauce.",,88,38.0,Oregon,Rogue Valley,Southern Oregon,Syrah,Griffin Creek
100027,Australia,"With 75% Shiraz, 22% Cabernet Franc and 3% Viognier, this wine stands out in a crowd. We get your expected plum and pepper notes from the Shiraz, but there are also elegant notes of cherry juice, pipe tobacco and tomato leaf along with a surprisingly firm acidity given the high level of ripeness. Tame tannins and leather notes come through on the finish. Drink now to 2013.",The Pretty Miss Shiraz-Cabernet Franc-Viognier,88,20.0,South Australia,Barossa,,Red Blend,Creed of Barossa
100028,Australia,"A fruit-forward nose belies the chewy tannins and more serious leather tones that come through in the mouth. Acidity stands out on the medium finish. Give it a year or two for better integration, then try with a grilled steak.",The High Trellis,88,19.0,South Australia,McLaren Vale,,Cabernet Sauvignon,D'Arenberg
100029,Italy,"Here's a sophisticated and intense Franciacorta sparkler with a luminous golden color and seductive aromas of toasted bread, almonds, yellow fruit and pressed rose petal. The wine offers a thick, creamy mouthfeel with some sour fruit on the close.",Brut,88,20.0,Lombardy,Franciacorta,,Chardonnay,Castelveder
100030,France,"There is definite richness in this wine, which benefits from the ripe style of 2005. You find sweet plums, soft tannins and delicious juiciness. The wine remains fruit-dominated, and could age for 2–3 years.",La Cloche de Cornemps,88,,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château de Cornemps
100031,France,"This is white Bordeaux at its freshest, bursting with herbaceous flavors, very grassy. It does have some weight of green plum flesh and a creamy texture. Delicious.",,88,12.0,Bordeaux,Entre-Deux-Mers,,Bordeaux-style White Blend,Château de Fontenille
100032,US,"Ponzi makes very little Riesling, which is a shame, because this is a big, full-bodied, leesy, mineral-soaked mouthful of fresh, zesty flavor. Whole cluster pressed, stainless steel fermentation, and 13% alcohol, it's a wine to gulp down by the glass. Pure pleasure.",,88,17.0,Oregon,Willamette Valley,Willamette Valley,Riesling,Ponzi
100033,Australia,"This blend seems to combine the best of the popular, fruity Shiraz with the more exotic, animal Mourvèdre grape. The palate shows only faint tannin and a few undertones of vanilla and coconut that glide through to the finish on a streak of acidity. An ideal choice for smoked meats. Drink now to 2012.",Bin 2 Shiraz-Mourvedre,88,15.0,South Australia,South Australia,,Red Blend,Penfolds
100034,South Africa,"Rich aromas of coffee, cinnamon, cedar and black berries lead into flavors of spice and savory berry in this versatile South African red. Mulderbosch is known for its quality and style, and this wine does not disappoint. Pair with grilled ribs, steak or a burger.",Faithful Hound,88,22.0,Stellenbosch,,,Bordeaux-style Red Blend,Mulderbosch
100035,South Africa,"This bright, mouthwatering red starts with cherry, cocoa and cedar on the nose, followed by ripe berries, spice and pepper on the palate. Supple and expressive, the wine will pair well with stews, burgers and lamb.",Boet Erasmus,88,35.0,Simonsberg-Paarl,,,Bordeaux-style Red Blend,Vrede en Lust
100036,US,"Light and tannic, tart and tasting of just-ripe cranberry and mountain strawberries. There is some pretty spice in the nose, and this wine is ready for food. It has the tannins and acids to complement wild poultry especially. Bring on the duck.",Tualatin Estate Vineyard,88,45.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Willamette Valley Vineyards
100037,US,"A big, heavy, full-bodied and ripe Zinfandel that needs rich, greasy meats and cheeses to tame it. The blackberry, currant and dry chocolate flavors are huge, and the tannins are even bigger, giving this extremely dry wine an astringent finish.",Tori's Reserve,88,44.0,California,Dry Creek Valley,Sonoma,Zinfandel,Wilson
100038,France,"A ripe, simple, pleasurable wine, with soft, dusty tannins and fruit that is already mature. There is a juicy red berry character, rounded out with some spicy wood.",,87,,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château de Côme
100039,US,"Strongly extracted and oaky, this Cab isn't showing much finesse now. It has jammy, pie-filling blackberry and cherry flavors, liberally spiced and wrapped into chewy tannins. Will age without developing complexity.",Taylor Reserve,87,41.0,California,Dry Creek Valley,Sonoma,Cabernet Sauvignon,Dutcher Crossing
100040,US,"Cerise is Chehalem's version of a Passetoutgrains—80% Gamay Noir, 20% Pinot Noir. Youthful, tasting of berries and spice, it hints at leafy herbs also. It's a picnic wine—tangy and light, with cherries and raspberries, and finished at just 12.7% alcohol.",Cerise,87,24.0,Oregon,Ribbon Ridge,Willamette Valley,Red Blend,Chehalem
100041,US,"Lusty and fleshy, a fat, opulently flavored young Cab offering huge amounts of ripe Paso fruit. Floods the mouth with soft, somewhat one-dimensional flavors of blackberries, cherries, currants and sandalwood.",,87,34.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Domaine Degher
100042,France,"Oxidative and spicy. Effusive mineral notes provide complexity but turn heavy in the mouth without fruit for balance. Crisp, with a silky texture and a short-to-medium finish.",Engelgarten Bergheim,87,40.0,Alsace,Alsace,,Alsace white blend,Domaine Marcel Deiss
100043,US,"Green melon and green apple fruit is lightly scented with aromas of white flowers and talc. The big fruit, low alcohol, tart and tangy character of Müller-Thurgau is nicely showcased, with just a touch of residual sugar.",Cuvée A,87,14.0,Oregon,Willamette Valley,Willamette Valley,Müller-Thurgau,Anne Amie
100044,US,"Soft, superripe, extracted and oaky, this Cabernet is like a melted dessert pastry. Floods the palate with sweet blackberry jam, cherry pie filling, caramel and vanilla flavors that dissolve on the finish into smoky-buttery opulence.",Secret Veil,87,50.0,California,Napa Valley,Napa,Cabernet Sauvignon,A. Faustini
