id,country,description,designation,points,price,province,region_1,region_2,variety,winery
24999,US,"This superrich wine, with 12.7% residual sugar, is very sweet. It dazzles with honeyed flavors of tangerines and Asian pears, with creamy notes of vanilla bean and smoky pie crust. Could be denser and more concentrated, but it's a flashy dessert wine.",Late Harvest,89,20.0,California,Anderson Valley,Mendocino/Lake Counties,Gewürztraminer,Husch
25000,Australia,"This coppery-pink rosé shows the same classy toast and citrus notes as Jansz's Premium Cuvée, with just a hint of cherry and mushroom to differentiate it. It's medium bodied, with a clean, refreshing finish. Good value.",Premium Rosé Brut,89,22.0,Tasmania,Tasmania,,Sparkling Blend,Jansz
25001,US,"Not an easy wine to appreciate now. It's tannic, and the fruit is fresh and primary, with the sweet, candied taste of a chewy raspberry twist. Still, there's something complex and interesting going on. It's not just another overripe Zin. Give it a year or two to come around.",Black-Sears Vineyard,89,40.0,California,Howell Mountain,Napa,Zinfandel,V. Sattui
25002,Spain,"Sappy green apple, grapefruit and citrus aromas are welcoming and pure, while the palate is soft-edged, citrusy and full or tangerine and melon flavors. A good, honest, clean Verdejo that has sure-fire mass appeal. More solid than special, which is what you should want from this kind of wine.",,89,16.0,Northern Spain,Rueda,,Verdejo,Valdelapinta
25003,France,"Apart from making its own branded wines, the go-ahead Buzet cooperative sells a number of wines from privately-owned estates. This wine is firmly in the tradition of Bordeaux blends, with its dry tannins and firm, licorice and bitter chocolate flavors. It would be worth aging for 2 more years.",Château de Gueyze,89,22.0,Southwest France,Buzet,,Bordeaux-style Red Blend,Vignerons de Buzet
25004,US,"Full-flavored, broadly-displayed and engaging with a mix of cranberry, raspberry and Bing cherry, this tasty Pinot Noir fills in the back end with pleasing barrel flavors. Buttered toast and caramel give it a smooth and creamy finish, and the alcohol is right at 13.5%.",Marylhurst Estate,89,36.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Vista Hills
25005,US,"There's a refined elegance to this delicious sparkler made from a classic blend of Pinot Noir, Pinot Meunier and Chardonnay. Soft bubbles burst with a bouquet of freshly baked brioche, fresh pears and delicate white flowers. The palate is dry with a brisk, minerally, lemon-lime profile.",Brut,89,29.0,New York,North Fork of Long Island,Long Island,Champagne Blend,Sparkling Pointe
25006,US,"Vintage seems to have made all the difference in this 100% Cabernet. The 2005 was rich and fat, the 2006 less so. You'll find plenty of acidity framing the juicy blackberry and black currant flavors. It seems to be very finely layered, so your best bet is to cellar it for 6–8 years and see what happens.",Winfield Vineyard,89,80.0,California,Napa Valley,Napa,Cabernet Sauvignon,The Grade
25007,US,"Aromas of lush black cherries, coffee grinds and darkly toasted oak meld effortlessly in winemaker Roman Roth's powerful Long Island Merlot. After 21 months in French oak, the wine is smooth as silk yet intensely focused with a rich fruit palate accented by hints of forest floor and bramble, velvety soft tannins and a balanced astringency. Lovely all around.",,89,50.0,New York,Long Island,Long Island,Merlot,The Grapes of Roth
25008,Portugal,"A curious blend of local grapes with Syrah and Merlot has produced a bold, ripe wine. The tannins are soft, surrounded by juicy plum and damson flavors and a broad, ripe texture.",,89,19.0,Alentejano,,,Portuguese Red,Azamor
25009,US,"A good wine that delivers the power you want. It's dry and rich in blackberries, currants, chocolate and smoky cedar. There's a slight rusticity in the form of a tannin-acid inconsistency.",,89,60.0,California,Napa Valley,Napa,Cabernet Sauvignon,Longfellow
25010,US,"Beautifully perfumed with luscious stonefruit and a hint of jasmine blossoms, but not at all cloying, this off-dry Riesling is another favorite from Hermann J. Wiemer. Bouquets of white florals shower the palate as well, but then retreat in the midpalate allowing elegant mineral and lime flavors to shine through.",Semi-Dry,89,17.0,New York,Finger Lakes,Finger Lakes,Riesling,Hermann J. Wiemer
25011,Spain,"Nutty and toasty, with toffee and butter pecan aromas. The palate is wet, light, alert and snappy, but also angular and citrusy. The acidity here is key; it pushes dried apricot and tangy flavors toward a nutty finish, and overall the wine delivers what a good, higher-end palo cortado should.",Marqués de Rodil Especial Palo Cortado,89,45.0,Andalucia,Jerez,,Palomino,Hidalgo
25012,Italy,"Delivers a rich and food friendly blend of Merlot, Cabernet Sauvignon and Syrah. The wine is loaded with cherry and black fruit with a rich, but not over extracted personality.",Ruith Hora,89,,Tuscany,Bolgheri,,Red Blend,Caccia al Piano 1868
25013,Spain,"Fragrant, clean and tropical, with slate-driven minerality. The palate is just fleshy enough but mostly it's tight and crisp, with flavors of green apple, fresh green herbs and a drip of honey. Holds it together from front to back; just right for salads and seafood-based tapas.",,89,19.0,Northern Spain,Valdeorras,,Godello,Gaba do Xil
25014,Italy,"This massive blend of Merlot, Cabernet Sauvignon and Petit Verdot is packed tight with cinnamon, clove and Christmas spice lavished over a solid core of blackberry and plum. The wine shows a ripe, jammy finish with a long, fruity fade.",,89,,Tuscany,Bolgheri,,Red Blend,Ferrari Iris & Figli
25015,Portugal,"Winemaker José Neiva delights in unusual blends such as this particular combination which should be tried more often. It is a big rich wine, packed with ripe flavors, plums, dark chocolate, rich sweet berries and firm tannins.",DFJ Caladoc/Alicante Bouschet,89,13.0,Lisboa,,,Portuguese Red,DFJ Vinhos
25016,France,"By softening the extract and reducing the use of wood, Luc de Conti has succeeded in making a smooth, elegant wine in a difficult year. There is some weight, principally in the black currant fruit, creating a wine that could age for several years.",Moulin des Dames,89,40.0,Southwest France,Côtes de Bergerac,,Bordeaux-style Red Blend,Château Tour des Gendres
25017,France,"A very mineral wine, with a lean and flinty character, tight tannins and suppressed fruit. The result is the need for several years of aging to bring out some weight and fruit. The potential is here.",Cuvée Prestige,89,22.0,Southwest France,Cahors,,Malbec,Château de Cénac
25018,Italy,"Emilio Primo (a pretty blend of Cabernet Sauvignon, Merlot and Syrah) opens with fresh fruit tones and drying mineral, backed by sweet spice and toasted almond. In the mouth, the wine is direct and sharp with piquant freshness on the close.",Emilio Primo,89,,Tuscany,Toscana,,Red Blend,Terre del Marchesato
25019,Portugal,"A ripe wine, with white fruits and a touch of spice. The crisp minerality of Vinho Verde is all there, with a satisfyingly textured aftertaste.",,89,12.0,Vinho Verde,,,Portuguese White,Solar de Pinheiro
25020,Italy,This semisecco Marsala from 2001 opens with a dark amber color and savory notes of wild mushroom and spice followed by caramel and toasted almond. There are touches of citrus and candied fruit woven into the wine's thick texture.,Targa Riserva 1840,88,18.0,Sicily & Sardinia,Marsala,,Grillo,Cantine Florio
25021,Italy,"Cutaja opens with a healthy dose of cinnamon and spice backed by bright cherry and toasted almond. The fruit shows a dark, ripe quality, with overtones of black olive and caper, but there is enough acidity to keep the palate refreshed.",Cutaja,88,35.0,Sicily & Sardinia,Sicilia,,Nero d'Avola,Caruso & Minini
25022,Italy,Grammonte shows touches of ripe fruit and cured meat lavished over a thickly concentrated mouthfeel. The wine is plush and richly textured with a touch of sour cherry on the close.,Grammonte,88,,Sicily & Sardinia,Sicilia,,Merlot,Cottanera
25023,Italy,"Nero d'Avola and Syrah are blended to produce a dark, hearty red wine with overtones of dried herb and black olive. The wine is fresh and smooth, with a touch of bitter almond on the finish.",Benuara,88,16.0,Sicily & Sardinia,Sicilia,,Red Blend,Cusumano
25024,Portugal,"A rich and rounded wine, with attractive ripe fruit and pear flavors. The wine is soft, with just the lightest tang of acidity and lime zest. Not for aging.",Casa de Santar Branco,88,,Dão,,,Portuguese White,Dão Sul
25025,US,"A lush Rhône-inspired blend, loaded with peach, pear and other stone-fruit goodness. It enters softly, fills out nicely, and finishes laced with streaks of lemon custard and vanilla cream.",Kaitlin Rayann White,88,13.0,Washington,Columbia Valley (WA),Columbia Valley,Rhône-style White Blend,Farm Girl
25026,Italy,"This oak-aged Nero d'Avola delivers dried berry, raspberry and cassis notes along with elegant touches of spice, leather and pipe tobacco. The fruit is dense and chewy.",Avulisi,88,22.0,Sicily & Sardinia,Sicilia,,Nero d'Avola,Feudo di Santa Tresa
25027,Italy,"Cerasuolo di Vittoria is a classic food wine. Its light, lean texture and crisp acidity go down beautifully with pasta, lasagna or veal. Aromas include bright berry, almond and barbecue smoke.",,88,,Sicily & Sardinia,Cerasuolo di Vittoria Classico,,Red Blend,Feudo di Santa Tresa
25028,Italy,"A plump, modern expression of Nero d'Avola with evident oak tones of chocolate, spice, toasted almond and a darkly concentrated appearance. Some bright red fruit and wild berry peeks through and offers a touch of much-needed freshness in the mouth.",Vuarìa,88,28.0,Sicily & Sardinia,Monreale,,Nero d'Avola,Feudo Disisa
25029,Italy,"Feudo Montoni delivers a delightful expression of Catarratto (one of Sicily's most popular white varieties) with an intense bouquet that is redolent of cut grass, citrus, grapefruit, almond skin and white flower. Very nice and easy-drinking with medium density and good freshness.",,88,17.0,Sicily & Sardinia,Sicilia,,Catarratto,Feudo Montoni
25030,Italy,"Camelot is a blend of Cabernet Sauvignon and Merlot that shows solid structure, ample length, smooth tannins and loads of dark fruit and spice. Pair this hearty red wine with breaded veal rolls fried in olive oil.",Camelot,88,,Sicily & Sardinia,Sicilia,,Red Blend,Firriato
25031,Italy,"Chiaramonte is a pure expression of Nero d'Avola from a winery located in the Trapani area of southern Sicily. The fruit shows ripe characteristics of blackberry and spice, and the mouthfeel is long and soft.",Chiaramonte,88,,Sicily & Sardinia,Sicilia,,Nero d'Avola,Firriato
25032,US,"The Cabernet brings structure and blackberry-currant fruit, while Syrah contributes softness and a roasted meat flavor in this dry, food-friendly wine. Drink it now with a nice steak, chop or stew.",,88,35.0,California,Santa Ynez Valley,Central Coast,Syrah-Cabernet,Epiphany
25033,Chile,"Fresh, pointed and tropical up front, then nothing but wet and fun in the mouth, with snap pea, fresh bell pepper and lime flavors. Short, tight and ultrafresh on the finish, with a hint of pith and bitterness as it fades away. Really good value SB.",Visión,88,13.0,Casablanca Valley,,,Sauvignon Blanc,Cono Sur
25034,Portugal,"A finely structured, still young wine with an edge of austerity. It does have a rich core of red fruit, giving a slightly juicy character, but with its tannins it will always be a firm wine, dense and serious.",Colheita Seleccionada,88,10.0,Alentejano,,,Portuguese Red,Herdade de São Miguel
25035,Australia,"Unlike many of its brethren, this Eden Valley Riesling relies on weight and texture rather than a fine line of acid to make an impression. It has the region's lime sherbet and wet stones, but is plump on the palate rather than lean and wiry, making it more approachable in its youth.",,88,25.0,South Australia,Eden Valley,,Riesling,Mesh
25036,US,"As with all the Milbrandt whites, this young wine retains exceptional freshness, and lifts the palate with lively acidity. Ripe pear and fig flavors are laced with streaks of vanilla bean and coconut flakes. A hint of fresh brioche gives the finish an extra dimension.",Traditions,88,13.0,Washington,Columbia Valley (WA),Columbia Valley,Pinot Gris,Milbrandt
25037,Spain,"Full and fruity, but with an aromatic pinch of latex and rubber that subsides with airing. Feels healthy on the palate, with good grip and weight to bolster raspberry, plum, cola and spice flavors. In golfing terms, it splits the fairway; it's perfectly good and should generate no complaints.",Reserva,88,18.0,Northern Spain,Rioja,,Tempranillo,Montecillo
25038,US,"This blend of Viognier, Marsanne and Roussanne, in roughly equal measures, is technically incorrect. It's a little dirty, a little fizzy and a little too sweet for a dry table wine. But you know what? It's fun to drink, and that's wine's ultimate obligation. Shows rich, satisfying flavors of apricots, oranges, peaches, honey and herbs, finished with a dry minerality.",3 Divas,88,25.0,California,Russian River Valley,Sonoma,Rhône-style White Blend,Montemaggiore
25039,US,"For the price, this is a great buy. It's rich in fruit and dry, with mouthwatering acidity. The lemon and lime flavors are good enough to inspire you to drink a few glasses and savor more.",,88,10.0,California,California,California Other,Pinot Grigio,Gnarly Head
25040,US,"Sourced from Stillwater, Conner Lee and Kiona vineyards, this 95% Cabernet and 5% Merlot blend is balanced and firm. The mixed berry and cassis fruit carries highlights of leaf and herb, plus a note of spice from barrel aging.",Reserve,88,45.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Pondera
